Points in r1,Points in r2,Points in r3,Points in r4,Points in r5,Points in r6,Points in r7,Distance from closest point,Population ,Average Age,Average Household Income ,Activity
0,0,0,1,3,3,6,4.9040799,12360,42,95556,0
0,0,0,1,1,1,3,4.1012193,15069,44,100927.19,0
0,0,0,1,1,1,5,4.9745763,23639,42,90300,0
0,0,0,0,1,2,8,5.2038447,9546,34,147858.21,0
0,0,0,0,0,0,4,10.9622078,7394,38,87500,0
0,0,0,0,1,2,16,5.9481089,32393,30,142538.14,0
0,0,0,0,0,2,15,7.9532283,8748,32,158305,0
0,0,0,3,4,4,12,3.2128942,11258,38,116987,0
0,0,0,0,1,1,5,6.5354682,35035,40,108496.35,0
0,0,0,1,1,1,2,4.472136,17870,41,143598.91,0
0,0,0,0,0,0,0,100000,11914,38,107411.92,1
17,18,22,42,57,94,231,0.0264764,36981,31,164856,1
0,0,0,0,1,2,20,6.7067131,32393,30,142538.14,0
0,0,0,5,6,6,43,3.5715646,6232,39,128184,0
3,3,7,56,66,114,241,0.0935094,36981,31,164856,0
0,0,0,0,1,1,3,5.4341513,6513,35,102979.26,0
0,0,0,0,0,0,1,18.3709009,5023,39,111509.65,0
0,0,0,0,0,2,6,8.3358509,12356,37,101759,0
5,5,8,10,25,44,166,0.058,32393,30,142538.14,1
0,0,0,1,1,6,27,2.7081087,6232,39,128184,0
0,0,0,1,2,2,4,4.8339902,20434,39,126866,0
0,0,0,0,0,1,5,8.4570597,23639,42,90300,1
0,0,0,0,1,1,2,5.3366656,6513,35,102979.26,0
1,3,15,32,45,102,225,0.1546254,34221,28,182927.31,1
0,0,0,0,1,2,7,5.2038447,32393,30,142538.14,0
1,1,3,37,76,126,217,0,34221,28,182927.31,1
0,0,0,0,0,0,3,10.1861131,7769,42,106839.01,0
0,0,0,1,1,1,19,2.5079872,11345,31,130480.48,0
1,1,1,2,2,3,6,0.2212984,12356,37,101759,0
0,0,0,0,1,2,8,6.3780875,9546,34,147858.21,0
15,16,21,59,75,131,214,0.0410366,34221,28,182927.31,1
0,0,0,0,0,1,6,7.256032,12346,41,117432,0
0,0,0,0,1,1,8,5.9033889,12360,42,95556,0
0,0,0,0,1,1,10,6.1716384,15069,44,100927.19,0
0,0,0,1,1,3,26,3.5132017,11311,34,124159,0
0,0,2,18,27,93,175,1.9605145,34221,28,182927.31,1
0,0,0,0,2,3,10,5.2392748,11258,38,116987,0
0,0,0,0,0,7,41,7.5957932,6232,39,128184,0
0,0,0,1,1,1,5,3.2062439,9546,34,147858.21,0
9,10,20,62,92,136,223,0.0181108,34221,28,182927.31,1
0,0,0,0,0,1,13,9.5305482,13117,41,90426.02,1
