Points in r1,Points in r2,Points in r3,Points in r4,Points in r5,Points in r6,Points in r7,Distance from closest point,Population ,Average Age,Average Household Income ,Activity
0,0,0,0,1,3,10,6.8622154,11345,31,130480.48,0
15,16,23,59,74,132,214,0.0388973,34221,28,182927.31,1
0,0,2,6,19,45,175,9.0593777,6191,37,123540,1
2,5,23,73,100,150,240,0.0516236,34221,28,182927.31,1
0,3,16,34,78,140,244,1.2035169,36981,31,164856,1
0,0,0,0,0,2,3,8.832327,9450,38,96353.24,0
7,18,22,42,57,94,231,0.0288617,36981,31,164856,1
0,0,0,0,1,2,6,6.4041372,12360,42,95556,0
15,16,21,59,75,131,214,0.0410366,34221,28,182927.31,1
0,0,0,2,2,2,13,3.3734256,12346,41,117432,0
0,0,1,1,1,2,4,1.8748365,9450,38,96353.24,0
0,0,0,1,3,4,18,2.1633308,11311,34,124159,0
0,1,8,13,20,56,203,0.6904837,18614,30,169443.96,1
0,0,0,1,1,2,5,2.1931712,9450,38,96353.24,0
5,7,15,32,45,126,224,0.0296142,34221,28,182927.31,1
0,2,2,24,40,98,177,0.7128172,16734,38,150821.66,1
0,1,5,15,21,54,128,0.9165054,6232,39,128184,1
2,6,17,33,64,121,229,0.8765444,34221,28,182927.31,1
2,5,16,53,64,107,239,0.3208816,18614,30,169443.96,1
0,4,7,24,54,122,254,5.6097041,13117,41,90426.02,1
5,7,15,32,45,126,224,0.0064031,34221,28,182927.31,1
0,0,0,0,0,2,4,8.7091905,12356,37,101759,0
0,0,0,0,0,0,7,11.4424648,29708,32,152263,0
0,2,5,21,42,103,242,7.4882193,13117,41,90426.02,1
0,0,0,0,0,0,4,13.4350288,11914,38,107411.92,0
0,3,9,26,67,119,251,0.5791347,34221,28,182927.31,1
2,8,16,54,65,113,240,0.0170294,36981,31,164856,1
0,0,0,0,0,1,11,9.7878047,15069,44,100927.19,0
0,0,0,1,1,2,14,4.7693171,12210,31,131646.75,0
2,2,2,8,48,84,222,0.0694622,18614,30,169443.96,1
0,5,19,46,94,149,242,1.4761494,34221,28,182927.31,1
0,2,12,42,62,193,234,0.6504734,36981,31,164856,1
0,0,0,1,1,1,7,4.7665914,29708,32,152263,0
0,0,0,1,3,3,5,4.2720019,12356,37,101759,0
0,0,0,0,1,5,9,6.5069194,18295,36,108496.35,0
0,0,0,0,0,0,6,13.2064509,35035,40,108496.35,0
0,1,5,17,42,116,249,0.8588111,34221,28,182927.31,1
0,0,1,1,2,9,25,1.5811388,12210,31,131646.75,0
0,0,1,3,3,4,8,1.7564945,8924,42,125739.63,0
1,1,4,19,35,71,154,0.0949368,26977,23,148577.18,1
0,0,1,3,11,17,46,1.0148497,32393,30,142538.14,0
0,0,0,0,0,1,13,7.7678765,6232,39,128184,0
1,2,8,12,24,49,166,0.1297575,32393,30,142538.14,1
9,9,26,73,106,147,236,0.0349285,34221,28,182927.31,1
0,0,2,5,16,52,143,5.3310412,20434,39,126866,1
0,0,0,0,0,2,27,8.3240615,12210,31,131646.75,0
0,0,0,0,0,0,6,15.9395704,18295,36,108496.35,0
0,0,2,4,7,19,85,1.4378793,32393,30,142538.14,1
0,0,0,0,1,1,6,6.4070274,12346,41,117432,0
0,0,0,0,0,0,3,10.346497,3549,42,90300,0
1,1,2,6,32,60,121,0.0842057,11258,38,116987,1
0,1,1,5,11,23,142,4.1824829,27534,32,132468,1
0,0,0,1,1,6,28,4.5331946,6232,39,128184,0
0,1,1,8,11,21,132,0.8123733,32144,30,169577.18,1
0,0,0,1,1,2,13,3.6496575,11311,34,124159,0
0,0,0,0,1,2,11,6.7567256,11258,38,116987,0
0,0,0,0,0,0,10,10.7192011,15069,44,100927.19,0
2,2,2,9,54,77,186,0.1103857,18614,30,169443.96,1
0,0,0,0,1,1,14,6.239391,8283,36,117590.58,0
0,0,0,0,1,1,6,5.9008474,35035,40,108496.35,0
0,0,1,1,1,1,3,1.7464249,12360,42,95556,0
0,0,0,0,0,1,2,9.8716767,27338,33,137513.32,0
0,2,8,16,43,115,237,1.4540031,36981,31,164856,1
0,0,0,0,0,1,5,9.3391648,9546,34,147858.21,0
2,4,20,34,83,135,228,0.0609016,34221,28,182927.31,1
1,5,11,21,49,165,142,3.4580013,12356,37,101759,1
0,0,0,0,0,3,18,7.4970924,8748,32,158305,0
0,2,5,17,34,74,116,7.6529108,11258,38,116987,1
2,5,19,76,103,149,242,0.1182074,34221,28,182927.31,1
0,0,0,1,3,3,6,4.9648766,12360,42,95556,0
0,0,0,0,1,1,7,5.1,15069,44,100927.19,0
2,2,2,14,26,68,158,0.0133417,32393,30,142538.14,1
0,1,6,17,50,100,187,16.5061688,8779,39,102729.61,1
0,0,0,0,2,2,21,5.9093147,11311,34,124159,0
0,2,2,12,37,64,231,2.537871,34221,28,182927.31,1
0,0,0,1,1,1,4,3.4928498,3549,42,90300,0
15,16,20,59,75,131,214,0.0349857,34221,28,182927.31,1
15,16,20,59,74,130,213,0.0325576,34221,28,182927.31,1
0,0,0,0,1,3,7,5.375872,12356,37,101759,0
0,0,0,0,0,0,3,15.3006011,9809,40,146348,0
0,0,0,0,1,1,4,6.5365902,9450,38,96353.24,0
5,17,23,41,58,91,231,0.1224132,36981,31,164856,1
0,0,0,0,0,0,2,12.2800651,11914,38,107411.92,0
0,0,0,0,0,0,5,13.520355,16871,35,144796,0
0,0,0,1,1,1,1,3.6674242,7492,41,87300,0
0,1,2,3,17,36,72,1.0475198,32393,30,142538.14,1
0,0,0,1,1,3,6,4.1029757,12356,37,101759,0
15,16,19,59,74,131,213,0.0332415,34221,28,182927.31,1
